2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:50,736-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,737-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,739-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,740-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,741-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,742-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,743-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,744-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,745-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,746-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,747-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,748-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,749-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,750-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,751-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,752-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,753-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,754-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,755-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,757-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,760-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,761-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,763-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,764-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,765-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,766-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,767-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,768-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,769-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,771-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,772-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,774-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,775-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,776-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,777-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,778-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,778-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,779-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,781-INFO: The 2 row insert commit,project:189 task:2513
